speech_recognition,start,end,max_confidence,mean_confidence,recognized_text
speech,2.25,3.25,0.9999667406082153,0.999418318271637,you are channel
speech,3.25,4.25,0.9509044289588928,0.9065015316009521,press the i found
speech,4.25,5.25,0.9298655390739441,0.9107019901275635,to see outdated
speech,5.25,6.25,0.9978563189506531,0.9928683638572693,now in chat
speech,7.25,8.25,1.0,1.0,the donor is a
speech,8.25,9.25,1.0,1.0,role in a product
speech,9.25,10.25,1.0,0.9999997019767761,that meant team
speech,10.25,11.25,1.0,1.0,scrum team
speech,11.25,12.25,0.9999995231628418,0.999993085861206,who was response
speech,12.25,13.25,0.9999996423721313,0.9999827742576599,though for the product
speech,13.25,14.25,0.8294448852539062,0.8089423179626465,cloud make
speech,14.25,15.25,0.9999393224716187,0.9993589520454407,ensure that it is
speech,15.25,16.25,0.9999929666519165,0.9996482133865356,to date and term
speech,16.25,17.25,1.0,1.0,the of priorities
speech,17.25,18.25,0.9949826002120972,0.9863512516021729,and has the
speech,18.25,19.25,1.0,1.0,items which tree
speech,19.25,20.25,1.0,1.0,the laid back to the
speech,20.25,21.25,0.9996845722198486,0.9977855682373047,vision
speech,21.25,22.25,0.990476131439209,0.9783697724342346,the product owner
speech,22.25,23.25,0.9957870841026306,0.9852504134178162,represents that this
speech,23.25,24.25,1.0,1.0,this or user
speech,24.25,25.25,1.0,1.0,and as accountable
speech,25.25,26.25,1.0,1.0,for collaborating
speech,26.25,27.25,1.0,1.0,the customer
speech,27.25,28.25,1.0,1.0,define what features
speech,28.25,29.25,1.0,1.0,will be in the prime
speech,29.25,30.25,0.9999991655349731,0.9999589323997498,released
speech,30.25,31.25,1.0,1.0,so what do proud
speech,31.25,32.25,1.0,1.0,the owners do
speech,32.25,33.25,0.9517831206321716,0.9113391637802124,the
speech,33.25,34.25,0.999962568283081,0.9995887875556946,all of a product
speech,34.25,35.25,1.0,1.0,the owner is really
speech,35.25,36.25,1.0,0.9999969601631165,critical as it
speech,36.25,37.25,1.0,1.0,shakes hands at both
speech,37.25,38.25,0.9291579723358154,0.9042938351631165,fans that
speech,38.25,39.25,1.0,1.0,that team and
speech,39.25,40.25,1.0,1.0,the stakeholders
speech,40.25,41.25,0.9800044894218445,0.9623991250991821,the point
speech,41.25,42.25,1.0,0.9999980926513672,the owner works
speech,42.25,43.25,1.0,1.0,with the stakeholders
speech,43.25,44.25,1.0,1.0,the get the right where
speech,44.25,45.25,0.999998927116394,0.9999580383300781,fireman's right
speech,45.25,46.25,1.0,1.0,in the sense to
speech,46.25,47.25,1.0,1.0,the users device
speech,47.25,48.25,1.0,1.0,is the requirement
speech,48.25,49.25,0.9986751675605774,0.995063304901123,which they may not
speech,49.25,50.25,1.0,1.0,see or com
speech,50.25,51.25,1.0,0.9999997019767761,and at that point
speech,51.25,52.25,0.9437054395675659,0.9024344682693481,this
speech,52.25,53.25,1.0,1.0,the only improves
speech,53.25,54.25,1.0,1.0,the relationship with
speech,54.25,55.25,1.0,1.0,customers
speech,55.25,56.25,1.0,1.0,also helps too
speech,56.25,57.25,1.0,1.0,build up the track
speech,57.25,58.25,0.9826446175575256,0.965583324432373,the and
speech,58.25,59.25,0.8626906275749207,0.8311778903007507,the other end
speech,59.25,60.25,0.9994168281555176,0.9969522953033447,product owner help
speech,60.25,61.25,1.0,1.0,the delivery team
speech,61.25,62.25,1.0,1.0,or development
speech,62.25,63.25,0.951154351234436,0.9314793348312378,team to under
speech,63.25,64.25,0.9999964237213135,0.9998970031738281,stand the vision
speech,64.25,65.25,0.9936478734016418,0.9842355251312256,and that required
speech,65.25,66.25,0.9864352345466614,0.9717671275138855,it's
speech,66.25,67.25,1.0,1.0,this role as
speech,67.25,68.25,1.0,0.9999997019767761,kind of bridge
speech,68.25,69.25,0.999705970287323,0.9979888200759888,when the two ends
speech,69.25,70.25,0.9961876273155212,0.9900561571121216,holding tight
speech,70.25,71.25,1.0,1.0,the two corners
speech,71.25,72.25,1.0,1.0,and effectively and
speech,72.25,73.25,1.0,1.0,than the smooth
speech,73.25,74.25,0.9763996601104736,0.9484224915504456,communication
speech,74.25,75.25,0.8940876126289368,0.8523573279380798,
speech,75.25,76.25,0.9999995231628418,0.9999902248382568,let us see the differ
speech,76.25,77.25,1.0,1.0,the responsibility
speech,77.25,78.25,1.0,1.0,the switch a product or
speech,78.25,79.25,1.0,1.0,it has to undertake
speech,80.25,81.25,0.9968931674957275,0.9904724359512329,the vision
speech,82.25,83.25,0.999879002571106,0.9986972808837891,the to owner has
speech,83.25,84.25,1.0,1.0,responsibility
speech,84.25,85.25,1.0,0.9999994039535522,of creating a vision
speech,85.25,86.25,0.9978665709495544,0.992078423500061,so that the does
speech,86.25,87.25,0.9915476441383362,0.9795370697975159,that meant team
